@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3}

@data
310,'2020/04/27 08:48:21:052',6,-2.04918,-4.225498,-2.688498,-3.144328,2
311,'2020/04/27 08:48:21:294',6,-85.361664,-20.244709,-23.268396,0.441063,2
312,'2020/04/27 08:48:21:532',6,95.132278,30.584673,22.953161,1.102365,2
313,'2020/04/27 08:48:21:753',6,-37.735443,-10.927949,-5.354788,-5.925318,2
314,'2020/04/27 08:48:21:957',6,1.166825,-2.466525,-1.625432,5.286091,2
315,'2020/04/27 08:48:22:088',6,-29.56752,-8.447485,-9.413918,8.410814,2
316,'2020/04/27 08:48:22:335',6,59.875172,15.812734,22.380859,-8.162172,2
317,'2020/04/27 08:48:22:465',6,-40.564934,-8.919298,-12.53846,-3.876624,2
318,'2020/04/27 08:48:22:733',6,-10.369343,-10.240412,-14.485612,0.078682,2
319,'2020/04/27 08:48:22:905',6,46.276985,24.841164,23.766846,7.487765,2
320,'2020/04/27 08:48:23:121',6,1.244379,-12.06084,-4.212035,-4.431689,2
321,'2020/04/27 08:48:23:291',6,-57.299248,-2.087765,-15.210556,-0.016548,2
322,'2020/04/27 08:48:23:515',6,21.250937,1.612972,5.317208,0.833593,2
323,'2020/04/27 08:48:23:724',6,23.588846,-1.239715,14.196512,0.452224,2
324,'2020/04/27 08:48:23:960',6,4.556095,3.153714,-5.282309,-0.542221,2
325,'2020/04/27 08:48:24:202',6,-66.075783,-13.94239,-15.010077,-1.140757,2
326,'2020/04/27 08:48:24:393',6,96.578934,22.789661,20.381313,1.361458,2
327,'2020/04/27 08:48:24:667',6,-63.978817,-13.282355,-16.039259,-3.079648,2
328,'2020/04/27 08:48:24:870',6,-22.064816,-6.220749,-2.502896,7.04082,2
329,'2020/04/27 08:48:25:090',6,64.194496,16.074675,16.766651,-6.016149,2
330,'2020/04/27 08:48:25:278',6,-1.54456,-3.51036,6.921295,1.27248,2
331,'2020/04/27 08:48:25:480',6,-72.357452,-8.830613,-30.535852,-0.818033,2
332,'2020/04/27 08:48:25:650',6,40.489006,2.564696,9.623239,4.916979,2
333,'2020/04/27 08:48:25:856',6,42.809441,5.136052,18.907907,-8.244188,2
334,'2020/04/27 08:48:26:064',6,-18.443186,0.820696,-13.317478,7.281821,2
335,'2020/04/27 08:48:26:285',6,-35.600533,-8.67078,-1.941453,-2.156227,2
336,'2020/04/27 08:48:26:499',6,-25.36599,-0.775334,-6.273157,-3.173149,2
337,'2020/04/27 08:48:26:702',6,71.657463,12.048877,14.819592,3.726562,2
338,'2020/04/27 08:48:26:952',6,-24.215275,-9.007042,-4.140958,1.316151,2
339,'2020/04/27 08:48:27:156',6,-33.392841,2.293585,-12.72611,-6.567061,2
340,'2020/04/27 08:48:27:404',6,51.851624,-0.196705,16.378597,5.608198,2
341,'2020/04/27 08:48:27:632',6,3.348855,4.595344,1.17066,-0.840154,2
342,'2020/04/27 08:48:27:842',6,-74.888069,-7.970191,-19.224606,0.023804,2
343,'2020/04/27 08:48:28:081',6,66.595016,5.602509,15.153032,-3.821128,2
344,'2020/04/27 08:48:28:314',6,-1.97573,0.738008,9.100006,6.07839,2
345,'2020/04/27 08:48:28:490',6,-50.068432,-6.848136,-27.096859,-3.003173,2
346,'2020/04/27 08:48:28:674',6,24.695389,-5.138244,10.966747,-1.924627,2
347,'2020/04/27 08:48:28:938',6,51.560913,19.268023,21.680389,1.56768,2
348,'2020/04/27 08:48:29:189',6,-61.154346,-9.419184,-21.254942,1.272758,2
349,'2020/04/27 08:48:29:356',6,-3.691908,-6.166697,-8.14381,-1.775754,2
350,'2020/04/27 08:48:29:700',6,49.265335,9.831751,14.479929,0.126397,2
